activity,project,workers,duration,time,duration_seconds,start_time,end_time
Sprint Planning,KAHOOT,Dan Abrahamov,0:58:20,05:34pm August 6th - 06:33pm August 6th,3500,2019-08-06T17:34:53+05:45,2019-08-06T18:33:13+05:45
Selecting Metrics,SURVEY MONKEY,Dan Abrahamov,2:00:51,03:28pm August 6th - 05:29pm August 6th,7251,2019-08-06T15:28:14+05:45,2019-08-06T17:29:05+05:45
Selecting Metrics,SURVEY MONKEY,Dan Abrahamov,0:44:30,02:32pm August 6th - 03:16pm August 6th,2670,2019-08-06T14:32:08+05:45,2019-08-06T15:16:38+05:45
"As a user, if I click on a Boost icon to shop in a party room, I should be able to shop and then get redirected back to the party room",KAHOOT,Dan Abrahamov,0:23:56,01:12pm August 6th - 01:36pm August 6th,1436,2019-08-06T13:12:15+05:45,2019-08-06T13:36:11+05:45
"As a player, I should be able to select a boost before I start a game session",KAHOOT,Dan Abrahamov,1:30:22,11:41am August 6th - 01:12pm August 6th,5422,2019-08-06T11:41:52+05:45,2019-08-06T13:12:14+05:45
fill missing values,GS Automation,Prakash Sharma,9:38:15,08:44am August 6th - 06:22pm August 6th,34695,2019-08-06T08:44:02+05:45,2019-08-06T18:22:17+05:45
Build Number component that can support 2 separate metrics,SURVEY MONKEY,Dan Abrahamov,0:08:32,03:21pm August 5th - 03:29pm August 5th,512,2019-08-05T15:21:08+05:45,2019-08-05T15:29:40+05:45
Build Number component that can support 2 separate metrics,SURVEY MONKEY,Dan Abrahamov,1:41:24,01:04pm August 5th - 02:45pm August 5th,6084,2019-08-05T13:04:06+05:45,2019-08-05T14:45:30+05:45
"As a admin, I should be able to search survey templates",SURVEY MONKEY,Dan Abrahamov,0:13:16,12:50pm August 5th - 01:03pm August 5th,796,2019-08-05T12:50:41+05:45,2019-08-05T13:03:57+05:45
pdf field mapping,GS Automation,Prakash Sharma,9:40:57,10:22am August 5th - 08:03pm August 5th,34857,2019-08-05T10:22:25+05:45,2019-08-05T20:03:22+05:45
IOS build,KAHOOT,Dan Abrahamov,1:29:06,12:16pm August 4th - 01:45pm August 4th,5346,2019-08-04T12:16:52+05:45,2019-08-04T13:45:58+05:45
deploy staging app to soono server,SURVEY MONKEY,Steve Jobs,0:30:06,08:35pm August 3rd - 09:05pm August 3rd,1806,2019-08-03T20:35:31+05:45,2019-08-03T21:05:37+05:45
deploy staging app to soono server,SURVEY MONKEY,Steve Jobs,1:22:34,02:49pm August 3rd - 04:11pm August 3rd,4954,2019-08-03T14:49:22+05:45,2019-08-03T16:11:56+05:45
